iter	Passed	Remaining
404	8209	12060
405	8229	12040
406	8251	12021
407	8271	12001
408	8293	11984
409	8315	11966
410	8336	11946
411	8356	11926
412	8375	11904
413	8395	11883
414	8414	11861
415	8435	11841
416	8455	11821
417	8475	11800
418	8495	11780
419	8515	11758
420	8534	11737
421	8553	11715
422	8572	11693
423	8592	11673
424	8613	11653
425	8632	11632
426	8652	11610
427	8671	11589
428	8691	11568
429	8711	11547
430	8735	11532
431	8755	11512
432	8776	11492
433	8795	11470
434	8816	11450
435	8836	11430
436	8855	11408
437	8874	11387
438	8894	11366
439	8914	11345
440	8934	11324
441	8953	11303
442	8973	11282
443	8992	11260
444	9011	11239
445	9032	11219
446	9052	11199
447	9071	11177
448	9091	11157
449	9112	11137
450	9131	11115
451	9150	11094
452	9169	11072
453	9189	11052
454	9209	11031
455	9229	11011
456	9248	10989
457	9268	10968
458	9288	10948
459	9308	10927
460	9329	10908
461	9350	10888
462	9370	10868
463	9391	10848
464	9409	10826
465	9429	10805
466	9448	10784
467	9468	10763
468	9488	10743
469	9508	10721
470	9527	10701
471	9547	10680
472	9567	10660
473	9587	10639
474	9607	10618
475	9627	10597
476	9646	10577
477	9667	10556
478	9686	10535
479	9705	10514
480	9725	10493
481	9744	10472
482	9765	10452
483	9784	10431
484	9806	10412
485	9825	10391
486	9845	10371
487	9865	10350
488	9883	10328
489	9903	10307
490	9924	10288
491	9943	10267
492	9975	10258
493	9995	10237
494	10015	10217
495	10035	10197
496	10055	10177
497	10075	10156
498	10105	10146
499	10125	10125
500	10144	10104
501	10165	10084
502	10184	10062
503	10203	10041
504	10222	10019
505	10241	9999
506	10260	9977
507	10281	9957
508	10300	9936
509	10320	9916
510	10342	9897
511	10361	9876
512	10380	9854
513	10400	9833
514	10418	9812
515	10438	9790
516	10458	9770
517	10478	9750
518	10499	9730
519	10518	9709
520	10537	9688
521	10557	9667
522	10577	9646
523	10597	9626
524	10616	9604
525	10635	9583
526	10654	9562
527	10675	9542
528	10694	9522
529	10714	9501
530	10734	9481
531	10754	9460
532	10773	9439
533	10794	9419
534	10813	9398
535	10832	9377
536	10851	9356
537	10872	9336
538	10892	9315
539	10911	9294
540	10930	9273
541	10950	9253
542	10970	9232
543	10990	9212
544	11009	9191
545	11028	9169
546	11047	9148
547	11067	9128
548	11086	9107
549	11105	9086
550	11124	9065
551	11143	9044
552	11163	9023
553	11183	9003
554	11203	8983
555	11224	8963
556	11243	8942
557	11263	8921
558	11283	8901
559	11303	8881
560	11334	8869
561	11353	8848
562	11374	8828
563	11395	8809
564	11415	8789
565	11435	8768
566	11455	8747
567	11474	8727
568	11493	8706
569	11513	8685
570	11533	8665
571	11553	8644
572	11573	8624
573	11593	8604
574	11626	8593
575	11644	8571
576	11664	8551
577	11683	8530
578	11702	8509
579	11722	8488
580	11742	8468
581	11762	8448
582	11782	8427
583	11801	8406
584	11821	8386
585	11840	8365
586	11860	8344
587	11880	8324
588	11899	8303
589	11919	8283
590	11939	8262
591	11965	8246
592	11985	8226
593	12005	8206
594	12025	8185
595	12045	8164
596	12065	8144
597	12085	8124
598	12104	8103
599	12123	8082
600	12143	8061
601	12162	8040
602	12182	8020
603	12201	7999
604	12220	7978
605	12240	7958
606	12259	7937
607	12279	7917
608	12298	7896
609	12318	7875
610	12337	7854
611	12358	7834
612	12377	7814
613	12396	7793
614	12416	7772
615	12437	7752
616	12456	7732
617	12477	7712
618	12497	7692
619	12517	7672
620	12537	7651
621	12555	7630
622	12577	7610
623	12595	7589
624	12615	7569
625	12635	7549
626	12654	7528
627	12674	7507
628	12695	7487
629	12714	7467
630	12734	7447
631	12754	7426
632	12774	7406
633	12793	7385
634	12812	7364
635	12831	7343
636	12851	7323
637	12870	7302
638	12891	7282
639	12911	7262
640	12931	7242
641	12951	7222
642	12970	7201
643	12991	7181
644	13010	7160
645	13030	7140
646	13050	7120
647	13069	7099
648	13098	7083
649	13120	7065
650	13141	7045
651	13179	7034
652	13199	7013
653	13218	6993
654	13237	6972
655	13257	6952
656	13276	6931
657	13296	6910
658	13315	6890
659	13334	6869
660	13355	6849
661	13374	6828
662	13394	6808
663	13413	6787
664	13435	6768
665	13457	6748
666	13477	6728
667	13498	6708
668	13517	6688
669	13537	6667
670	13557	6647
671	13577	6627
672	13599	6607
673	13622	6588
674	13643	6569
675	13666	6550
676	13686	6530
677	13706	6509
678	13726	6489
679	13745	6468
680	13765	6448
681	13784	6427
682	13804	6406
683	13823	6386
684	13843	6366
685	13862	6345
686	13882	6324
687	13902	6304
688	13922	6284
689	13941	6263
690	13960	6242
691	13984	6224
692	14004	6203
693	14023	6183
694	14041	6162
695	14061	6141
696	14081	6121
697	14102	6101
698	14122	6081
699	14143	6061
700	14162	6040
701	14183	6020
702	14202	6000
703	14222	5979
704	14241	5959
705	14260	5938
706	14280	5918
707	14298	5897
708	14317	5876
709	14336	5855
710	14356	5835
711	14377	5815
712	14397	5795
713	14417	5774
714	14436	5754
715	14456	5734
716	14476	5713
717	14495	5693
718	14514	5672
719	14534	5652
720	14553	5631
721	14574	5611
722	14593	5591
723	14613	5570
724	14633	5550
725	14653	5530
726	14672	5509
727	14691	5489
728	14711	5468
729	14729	5448
730	14750	5427
731	14769	5407
732	14789	5387
733	14809	5366
734	14828	5346
735	14848	5326
736	14867	5305
737	14907	5292
738	14927	5272
739	14947	5251
740	14966	5231
741	14985	5210
742	15005	5190
743	15025	5170
744	15044	5149
745	15063	5129
746	15084	5108
747	15103	5088
748	15123	5068
749	15143	5047
750	15162	5027
751	15183	5007
752	15202	4986
753	15221	4966
754	15241	4946
755	15261	4925
756	15281	4905
757	15301	4885
758	15321	4864
759	15341	4844
760	15360	4824
761	15381	4804
762	15401	4784
763	15422	4764
764	15442	4743
765	15461	4723
766	15480	4702
767	15500	4682
768	15520	4662
769	15540	4642
770	15565	4623
771	15589	4604
772	15610	4584
773	15630	4564
774	15651	4543
775	15670	4523
776	15689	4502
777	15708	4482
778	15728	4462
779	15748	4441
780	15768	4421
781	15788	4401
782	15807	4380
783	15826	4360
784	15846	4340
785	15864	4319
786	15884	4299
787	15904	4278
788	15924	4258
789	15944	4238
790	15964	4218
791	15983	4197
792	16002	4177
793	16022	4156
794	16040	4136
795	16060	4116
796	16080	4095
797	16100	4075
798	16119	4055
799	16139	4034
800	16158	4014
801	16177	3993
802	16197	3973
803	16217	3953
804	16236	3932
805	16255	3912
806	16276	3892
807	16295	3872
808	16314	3851
809	16333	3831
810	16353	3811
811	16373	3790
812	16394	3771
813	16415	3750
814	16434	3730
815	16453	3710
816	16473	3689
817	16492	3669
818	16511	3648
819	16530	3628
820	16550	3608
821	16570	3588
822	16590	3567
823	16609	3547
824	16629	3527
825	16664	3510
826	16684	3490
827	16704	3469
828	16723	3449
829	16743	3429
830	16763	3409
831	16782	3388
832	16802	3368
833	16822	3348
834	16847	3329
835	16866	3308
836	16886	3288
837	16905	3268
838	16924	3247
839	16944	3227
840	16964	3207
841	16983	3186
842	17001	3166
843	17020	3145
844	17039	3125
845	17059	3105
846	17079	3085
847	17098	3064
848	17118	3044
849	17137	3024
850	17157	3004
851	17175	2983
852	17195	2963
853	17215	2943
854	17235	2922
855	17256	2902
856	17276	2882
857	17296	2862
858	17315	2842
859	17334	2821
860	17353	2801
861	17372	2781
862	17391	2760
863	17412	2740
864	17432	2720
865	17452	2700
866	17472	2680
867	17491	2660
868	17511	2639
869	17530	2619
870	17554	2599
871	17577	2580
872	17597	2560
873	17616	2539
874	17636	2519
875	17655	2499
876	17674	2478
877	17694	2458
878	17713	2438
879	17733	2418
880	17753	2398
881	17772	2377
882	17791	2357
883	17810	2337
884	17830	2316
885	17849	2296
886	17869	2276
887	17889	2256
888	17908	2236
889	17928	2215
890	17948	2195
891	17967	2175
892	17986	2155
893	18006	2134
894	18025	2114
895	18043	2094
896	18062	2074
897	18082	2053
898	18101	2033
899	18120	2013
900	18140	1993
901	18160	1973
902	18180	1952
903	18200	1932
904	18219	1912
905	18239	1892
906	18259	1872
907	18279	1852
908	18300	1832
909	18321	1811
910	18341	1791
911	18360	1771
912	18379	1751
913	18401	1731
914	18421	1711
915	18441	1691
916	18461	1670
917	18480	1650
918	18499	1630
919	18518	1610
920	18538	1590
921	18558	1570
922	18578	1549
923	18598	1529
924	18618	1509
925	18638	1489
926	18669	1470
927	18689	1450
928	18709	1429
929	18728	1409
930	18749	1389
931	18767	1369
932	18786	1349
933	18806	1328
934	18826	1308
935	18845	1288
936	18866	1268
937	18885	1248
938	18905	1228
939	18924	1207
940	18944	1187
941	18965	1167
942	18984	1147
943	19003	1127
944	19023	1107
945	19042	1086
946	19061	1066
947	19081	1046
948	19101	1026
949	19121	1006
950	19142	986
951	19161	966
952	19180	945
953	19200	925
954	19222	905
955	19240	885
956	19261	865
957	19281	845
958	19301	825
959	19321	805
960	19341	784
961	19361	764
962	19380	744
963	19400	724
964	19420	704
965	19440	684
966	19458	664
967	19478	643
968	19498	623
969	19517	603
970	19537	583
971	19558	563
972	19578	543
973	19598	523
974	19617	503
975	19638	482
976	19656	462
977	19675	442
978	19694	422
979	19714	402
980	19733	382
981	19753	362
982	19773	341
983	19794	321
984	19813	301
985	19833	281
986	19853	261
987	19872	241
988	19892	221
989	19911	201
990	19932	181
991	19952	160
992	19972	140
993	19992	120
994	20011	100
995	20030	80
996	20050	60
997	20070	40
998	20090	20
999	20110	0
